Date,Time,Source Host,Source Port,Target Host,Target Port
12/19/2021,01:20:45,127.0.0.1,55431,127.0.0.1,80
12/19/2021,01:20:45,127.0.0.1,55433,127.0.0.1,80
12/19/2021,01:20:46,127.0.0.1,55434,127.0.0.1,80
12/19/2021,01:20:46,127.0.0.1,55435,127.0.0.1,80
12/19/2021,01:20:47,127.0.0.1,55436,127.0.0.1,80
12/19/2021,01:20:47,127.0.0.1,55437,127.0.0.1,80
12/19/2021,01:20:48,127.0.0.1,55439,127.0.0.1,80
12/19/2021,01:20:49,127.0.0.1,55440,127.0.0.1,80
12/19/2021,01:20:50,127.0.0.1,55441,127.0.0.1,80
12/19/2021,01:20:50,127.0.0.1,55442,127.0.0.1,80
12/19/2021,01:20:51,127.0.0.1,55444,127.0.0.1,80
